Strain,Genotype,Media,Ploidy,Well,Experiment
FY4,FY4,SC,1N,E01,Accuri_Double_Flourescense_Strains
MEP2_mCherry,MEP2_mCherry,SC,1N,E02,Accuri_Double_Flourescense_Strains
HXT6/7_mcherry,HXT6/7_mcherry,SC,1N,E03,Accuri_Double_Flourescense_Strains
1658,GAP1_mCitrine,SC,1N,E04,Accuri_Double_Flourescense_Strains
MEP2_mCherryX1658,MEP2_mCherryXGAP1_mCitrine,SC,2N,E05,Accuri_Double_Flourescense_Strains
HXT6/7_mcherryX1658,HXT6/7_mcherryXGAP1_mCitrine,SC,2N,E06,Accuri_Double_Flourescense_Strains
MEP2_GAP1_5A,MEP2_mCherry; GAP1_mCitrine,SC,1N,F01,Accuri_Double_Flourescense_Strains
MEP2_GAP1_5B,MEP2_mCherry; GAP1_mCitrine,SC,1N,F02,Accuri_Double_Flourescense_Strains
MEP2_GAP1_9A,MEP2_GAP1_9A,SC,1N,F03,Accuri_Double_Flourescense_Strains
MEP2_GAP1_9B,MEP2_GAP1_9B,SC,1N,F04,Accuri_Double_Flourescense_Strains
MEP2_GAP1_9C,MEP2_GAP1_9C,SC,1N,F05,Accuri_Double_Flourescense_Strains
MEP2_GAP1_9D,MEP2_GAP1_9D,SC,1N,F06,Accuri_Double_Flourescense_Strains
MEP2_GAP1_16B,MEP2_mCherry; GAP1_mCitrine,SC,1N,F07,Accuri_Double_Flourescense_Strains
MEP2_GAP1_16C,MEP2_mCherry; GAP1_mCitrine,SC,1N,F08,Accuri_Double_Flourescense_Strains
MEP2_GAP1_19A,MEP2_GAP1_19A,SC,1N,F09,Accuri_Double_Flourescense_Strains
MEP2_GAP1_19B,MEP2_GAP1_19B,SC,1N,F10,Accuri_Double_Flourescense_Strains
MEP2_GAP1_19C,MEP2_GAP1_19C,SC,1N,F11,Accuri_Double_Flourescense_Strains
MEP2_GAP1_19D,MEP2_GAP1_19D,SC,1N,F12,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_3A,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G01,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_3D,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G02,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_10A,HXT6/7_GAP1_10A,SC,1N,G03,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_10B,HXT6/7_GAP1_10B,SC,1N,G04,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_10C,HXT6/7_GAP1_10C,SC,1N,G05,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_10D,HXT6/7_GAP1_10D,SC,1N,G06,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_16B,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G07,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_16C,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G08,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_21A,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G09,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_21B,HXT6/7_mcherry; GAP1_mCitrine,SC,1N,G10,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_22C,HXT6/7_GAP1_22C,SC,1N,G11,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_22D,HXT6/7_GAP1_22D,SC,1N,G12,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_22C,HXT6/7_GAP1_22C,SC,1N,H01,Accuri_Double_Flourescense_Strains
HXT6/7_GAP1_22D,HXT6/7_GAP1_22D,SC,1N,H02,Accuri_Double_Flourescense_Strains
